LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,CurrentJobTitleSelect,MLMethodNextYearSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkInternalVsExternalTools,FormalEducation,Age,DataScienceIdentitySelect,JobSatisfaction
NA,NA,Somewhat useful,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,Very useful,Very useful,Programmer,Deep learning,Most of the time,NA,NA,NA,Most of the time,NA,NA,NA,Most of the time,NA,NA,NA,Most of the time,NA,NA,NA,Most of the time,NA,NA,NA,Most of the time,NA,Entirely internal,Professional degree,26,Yes,4
Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Scientist/Researcher,Deep learning,Often,NA,NA,NA,NA,Often,NA,NA,Often,NA,Often,NA,NA,NA,NA,Often,Often,NA,NA,Often,Often,NA,More internal than external,Doctoral degree,36,Sort of (Explain more),2
NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,Very useful,NA,NA,NA,NA,Other,Decision Trees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,25,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,NA,NA,NA,NA,Very useful,Very useful,Somewhat useful,Other,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,Most of the time,Approximately half internal and half external,Master's degree,55,Sort of (Explain more),10 - Highly Satisfied
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Data Analyst,Support Vector Machines (SVM),NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,58,No,9
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,27,NA,NA
NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,NA,Very useful,NA,Data Analyst,Social Network Analysis,NA,Often,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,Often,Most of the time,NA,More internal than external,Master's degree,27,Sort of (Explain more),6
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,Somewhat useful,Very useful,NA,NA,NA,NA,Programmer,Deep learning,NA,NA,NA,NA,Most of the time,Sometimes,NA,NA,NA,NA,Often,NA,Often,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Entirely external,Master's degree,NA,No,1 - Highly Dissatisfied
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,Regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,26,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,Very useful,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,Sort of (Explain more),NA
NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,No,NA
NA,Somewhat useful,Not Useful,NA,NA,Not Useful,NA,NA,NA,NA,NA,NA,NA,Not Useful,NA,NA,Somewhat useful,NA,Statistician,Random Forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely,NA,More external than internal,Master's degree,26,Yes,7
NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,Somewhat useful,Somewhat useful,NA,Very useful,NA,Very useful,NA,Scientist/Researcher,Monte Carlo Methods,NA,NA,NA,NA,Often,Often,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Sometimes,NA,NA,NA,NA,Often,More external than internal,Doctoral degree,39,Sort of (Explain more),4
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineer,Deep learning,NA,Often,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,25,Yes,6
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,Very useful,NA,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,Yes,NA
NA,Very useful,Very useful,NA,Somewhat useful,Very useful,Very useful,NA,NA,Somewhat useful,Somewhat useful,Very useful,NA,Very useful,NA,NA,NA,Very useful,Business Analyst,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,23,Sort of (Explain more),NA
Very useful,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,Very useful,NA,Genetic & Evolutionary Algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,Yes,NA
NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Data Scientist,Neural Nets,Often,Sometimes,Sometimes,Rarely,Often,NA,NA,NA,Sometimes,NA,NA,NA,Sometimes,NA,Sometimes,NA,NA,NA,NA,Sometimes,NA,NA,Approximately half internal and half external,Master's degree,24,NA,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Somewhat useful,NA,Very useful,NA,NA,Anomaly Detection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,29,Yes,NA
NA,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,Very useful,NA,Very useful,NA,NA,NA,NA,NA,Genetic & Evolutionary Algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Somewhat useful,Very useful,NA,NA,NA,NA,Somewhat useful,NA,Other,Uplift Modeling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,47,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Data Analyst,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,39,No,10 - Highly Satisfied
Somewhat useful,Somewhat useful,Somewhat useful,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Very useful,Very useful,Computer Scientist,Random Forests,NA,NA,NA,NA,Often,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Most of the time,Often,Sometimes,NA,Often,NA,More external than internal,Master's degree,31,Yes,8
Somewhat useful,Very useful,NA,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,NA,NA,NA,Very useful,NA,Somewhat useful,NA,NA,Very useful,Very useful,Data Scientist,Deep learning,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Rarely,NA,NA,Do not know,Master's degree,23,NA,10 - Highly Satisfied
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,Somewhat useful,NA,NA,NA,Very useful,Data Scientist,Uplift Modeling,Often,Sometimes,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,Often,NA,NA,More internal than external,Master's degree,41,NA,8
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Somewhat useful,Somewhat useful,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Other,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,36,Sort of (Explain more),NA
NA,NA,Very useful,Somewhat useful,NA,NA,Very useful,NA,NA,Very useful,Somewhat useful,Very useful,NA,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,Software Developer/Software Engineer,Deep learning,Sometimes,Often,NA,NA,Sometimes,NA,NA,Rarely,Sometimes,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,Rarely,NA,NA,More internal than external,Master's degree,27,Yes,8
Very useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,Very useful,Very useful,NA,NA,Somewhat useful,Statistician,Monte Carlo Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,69,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,NA,Very useful,Very useful,Programmer,Decision Trees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,31,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,Very useful,Very useful,NA,NA,NA,NA,Data Analyst,Deep learning,Often,NA,Often,NA,Often,Often,NA,NA,Often,NA,NA,NA,Often,Often,Often,NA,NA,NA,Often,NA,Often,Most of the time,Entirely internal,Some college/university study without earning a bachelor's degree,40,Yes,5
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely,Do not know,Master's degree,29,No,1 - Highly Dissatisfied
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,Somewhat useful,NA,NA,NA,Very useful,Other,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Often,Sometimes,NA,NA,NA,More internal than external,Master's degree,26,Sort of (Explain more),8
Somewhat useful,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,Somewhat useful,Data Analyst,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,Most of the time,NA,Entirely internal,Some college/university study without earning a bachelor's degree,26,Yes,9
NA,NA,Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Data Analyst,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,29,Yes,NA
NA,Somewhat useful,NA,NA,Not Useful,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,Software Developer/Software Engineer,Anomaly Detection,Often,NA,NA,NA,Most of the time,Sometimes,NA,Sometimes,Rarely,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,Entirely internal,Bachelor's degree,29,No,6
Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,Very useful,NA,Somewhat useful,NA,Scientist/Researcher,Deep learning,Sometimes,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Approximately half internal and half external,Doctoral degree,38,Sort of (Explain more),7
NA,Very useful,NA,NA,Very useful,NA,Very useful,NA,Very useful,NA,NA,Very useful,NA,Very useful,NA,NA,NA,Very useful,Other,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,24,Yes,7
Very useful,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Very useful,NA,NA,NA,Very useful,Scientist/Researcher,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,Somewhat useful,NA,Very useful,NA,NA,NA,Somewhat useful,Predictive Modeler,Neural Nets,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Often,Often,NA,NA,More internal than external,Master's degree,61,Yes,5
NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,20,No,NA
NA,Somewhat useful,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,NA,NA,Rule Induction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,23,Yes,NA
NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Not Useful,NA,NA,NA,NA,Operations Research Practitioner,Time Series Analysis,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,Most of the time,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,29,Yes,8
NA,Somewhat useful,NA,NA,Somewhat useful,NA,Very useful,Very useful,NA,Somewhat useful,Very useful,Very useful,NA,Somewhat useful,NA,NA,NA,Very useful,Data Analyst,Deep learning,NA,NA,NA,NA,NA,NA,Rarely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,31,Sort of (Explain more),8
Somewhat useful,Very useful,NA,NA,NA,Somewhat useful,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,NA,Other,Genetic & Evolutionary Algorithms,NA,Often,NA,NA,Often,NA,NA,Often,NA,NA,NA,NA,NA,Often,NA,Often,NA,NA,NA,Often,NA,NA,Approximately half internal and half external,Master's degree,26,Yes,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA
NA,Very useful,NA,Very useful,Very useful,Very useful,NA,Very useful,NA,Very useful,Very useful,Very useful,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Data Scientist,Deep learning,Sometimes,Sometimes,Sometimes,NA,Often,Often,NA,NA,NA,NA,Often,NA,Sometimes,Often,Often,NA,NA,Sometimes,Sometimes,Often,Often,NA,More internal than external,Master's degree,30,NA,8
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,33,Yes,NA
NA,NA,NA,Not Useful,Not Useful,NA,Somewhat useful,Very useful,NA,NA,Somewhat useful,Very useful,NA,Somewhat useful,Very useful,NA,NA,Very useful,Data Scientist,Deep learning,Often,Sometimes,NA,Sometimes,Most of the time,Rarely,NA,NA,NA,NA,Rarely,NA,NA,Often,NA,NA,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,NA,More internal than external,Master's degree,26,NA,7
Somewhat useful,Very useful,NA,NA,Somewhat useful,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,Somewhat useful,NA,Somewhat useful,Very useful,NA,NA,NA,NA,Scientist/Researcher,Bayesian Methods,Sometimes,NA,Rarely,NA,Often,Sometimes,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,Often,NA,More internal than external,Doctoral degree,34,Sort of (Explain more),8
NA,Very useful,NA,NA,Somewhat useful,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Somewhat useful,Very useful,NA,NA,NA,Data Scientist,Deep learning,NA,Sometimes,Sometimes,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Most of the time,NA,Often,NA,NA,NA,Approximately half internal and half external,Master's degree,37,NA,8
Somewhat useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Data Scientist,Deep learning,Often,NA,Most of the time,Most of the time,Often,Often,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Doctoral degree,33,NA,7
NA,Somewhat useful,Very useful,NA,Somewhat useful,Very useful,Very useful,NA,NA,Very useful,Very useful,NA,NA,NA,NA,Somewhat useful,Very useful,Very useful,NA,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,Yes,NA
NA,Very useful,NA,NA,Somewhat useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Software Developer/Software Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,35,No,NA
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Data Scientist,Time Series Analysis,NA,Sometimes,NA,Often,NA,Sometimes,NA,NA,Often,NA,NA,NA,Often,Most of the time,NA,NA,NA,NA,NA,NA,Often,NA,Do not know,Master's degree,54,NA,6
NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,NA,Engineer,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Do not know,Bachelor's degree,37,No,5
Somewhat useful,Somewhat useful,NA,Somewhat useful,Somewhat useful,Not Useful,Somewhat useful,NA,Very useful,Somewhat useful,Somewhat useful,Very useful,NA,Somewhat useful,Not Useful,NA,Very useful,Somewhat useful,Other,Other,NA,NA,NA,Sometimes,Most of the time,NA,NA,Sometimes,NA,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Most of the time,Sometimes,NA,Do not know,Doctoral degree,27,Yes,9
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,23,No,NA
NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,Very useful,Somewhat useful,Somewhat useful,NA,NA,Very useful,NA,Very useful,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I prefer not to answer,21,Yes,NA
Somewhat useful,Very useful,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,23,Yes,NA
Very useful,Very useful,NA,NA,Very useful,Somewhat useful,Somewhat useful,Not Useful,NA,Somewhat useful,Very useful,Very useful,NA,Not Useful,Not Useful,Not Useful,NA,Somewhat useful,Data Scientist,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,Often,NA,Often,NA,NA,NA,Sometimes,NA,NA,NA,Often,NA,NA,Approximately half internal and half external,Doctoral degree,33,NA,10 - Highly Satisfied
NA,Somewhat useful,NA,NA,NA,NA,Very useful,Somewhat useful,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Data Scientist,Deep learning,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,29,NA,8
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,Very useful,NA,NA,NA,Business Analyst,Deep learning,Sometimes,Often,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,33,Sort of (Explain more),7
NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,25,No,NA
NA,Very useful,Very useful,NA,NA,Somewhat useful,Somewhat useful,Not Useful,NA,NA,NA,Very useful,NA,Very useful,Very useful,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Other,Uplift Modeling,NA,Often,NA,NA,Sometimes,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,Sometimes,Most of the time,NA,NA,More internal than external,Master's degree,43,Sort of (Explain more),10 - Highly Satisfied
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,30,Sort of (Explain more),NA
NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,20,Yes,NA
NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,Somewhat useful,Very useful,Very useful,Very useful,NA,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,DBA/Database Engineer,"Ensemble Methods (e.g. boosting, bagging)",Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,37,Yes,7
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Deep learning,Rarely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely,NA,Often,NA,NA,NA,NA,Most of the time,NA,Approximately half internal and half external,Master's degree,29,No,7
